Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 9.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,141,6,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,37,124 536,"2,97",0,26,11,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,11,108 886,"1,01",0,7,4,1,6,1,0,0,3
6,krakowski,89,279 239,"3,19",1,71,17,4,38,19,0,0,28
7,limanowski,165,131 764,"12,52",4,105,56,0,99,25,0,0,41
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,150,9,0,86,18,0,0,55
10,nowosądecki,188,216 796,"8,67",0,31,157,7,181,0,0,0,0
11,nowotarski,18,191 782,"0,94",0,11,7,2,7,1,0,0,8
12,olkuski,15,111 217,"1,35",0,10,5,1,0,5,0,0,9
13,oświęcimski,108,153 486,"7,04",4,77,27,2,48,13,0,0,45
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,136,58,0,115,0,0,0,79
16,tarnowski,114,201 497,"5,66",3,34,77,3,83,2,22,0,4
17,tatrzański,8,68 072,"1,18",0,4,4,2,4,1,0,0,1
18,wadowicki,37,160 006,"2,31",2,20,15,0,18,4,0,0,15
19,wielicki,128,129 136,"9,91",5,117,5,1,118,9,0,0,0
20,m. Kraków,352,779 115,"4,52",19,259,74,23,109,99,0,0,121
21,m. Nowy Sącz,51,83 794,"6,09",0,28,23,3,47,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,14,0,8,3,2,0,0,1
"RazemMałopolska",1 947,3 410 901,"5,71",45,1 334,563,64,1 067,266,76,2,472,
